Date,Pension_Type_ID,Count_Paid,Avg_Amount,Count_New
2020-01-01,1,143792.0,216.12,1141.0
2020-01-01,2,90223.0,391.17,482.0
2020-01-01,3,13004.0,444.41,781.0
2020-01-01,4,20395.0,142.09,275.0
2020-01-01,5,1088208.0,477.14,2425.0
2020-01-01,6,49452.0,215.31,383.0
2020-01-01,7,292648.0,271.01,1161.0
2020-02-01,1,144703.0,216.34,912.0
2020-02-01,2,90046.0,391.81,362.0
2020-02-01,3,13589.0,445.65,1217.0
2020-02-01,4,21210.0,142.62,193.0
2020-02-01,5,1082544.0,481.79,2422.0
2020-02-01,6,49264.0,215.65,392.0
2020-02-01,7,291145.0,271.26,1162.0
2020-03-01,1,144822.0,216.37,764.0
2020-03-01,2,89912.0,392.01,327.0
2020-03-01,3,14149.0,447.75,803.0
2020-03-01,4,21376.0,142.65,156.0
2020-03-01,5,1082804.0,482.29,2174.0
2020-03-01,6,49306.0,215.57,317.0
2020-03-01,7,291143.0,271.35,835.0
2020-04-01,1,144699.0,216.45,1021.0
2020-04-01,2,89665.0,392.22,361.0
2020-04-01,3,14280.0,448.15,997.0
2020-04-01,4,21073.0,142.05,216.0
2020-04-01,5,1082527.0,483.61,2613.0
2020-04-01,6,49272.0,215.71,342.0
2020-04-01,7,290665.0,271.51,888.0
2020-05-01,1,144797.0,216.54,843.0
2020-05-01,2,89330.0,392.36,437.0
2020-05-01,3,14320.0,449.3,1185.0
2020-05-01,4,20067.0,140.28,250.0
2020-05-01,5,1082406.0,484.18,3513.0
2020-05-01,6,49217.0,215.8,383.0
2020-05-01,7,290136.0,271.65,1040.0
2020-06-01,1,144538.0,216.63,1066.0
2020-06-01,2,89091.0,392.85,463.0
2020-06-01,3,14476.0,451.09,1043.0
2020-06-01,4,20093.0,140.16,200.0
2020-06-01,5,1083919.0,484.94,3727.0
2020-06-01,6,49230.0,216.04,437.0
2020-06-01,7,290130.0,271.52,1315.0
2020-07-01,1,144921.0,216.93,1314.0
2020-07-01,2,89315.0,393.32,514.0
2020-07-01,3,14374.0,454.03,1056.0
2020-07-01,4,18070.0,138.9,210.0
2020-07-01,5,1083978.0,485.65,3785.0
2020-07-01,6,49210.0,216.07,480.0
2020-07-01,7,289972.0,271.54,1386.0
2020-08-01,1,145544.0,217.27,1012.0
2020-08-01,2,89503.0,393.8,375.0
2020-08-01,3,14300.0,458.77,705.0
2020-08-01,4,18187.0,139.25,220.0
2020-08-01,5,1084479.0,486.29,3000.0
2020-08-01,6,49333.0,216.44,365.0
2020-08-01,7,290032.0,271.87,964.0
2020-09-01,1,145605.0,217.34,1067.0
2020-09-01,2,89072.0,393.84,425.0
2020-09-01,3,13750.0,459.76,1017.0
2020-09-01,4,17267.0,139.41,255.0
2020-09-01,5,1085879.0,486.67,2795.0
2020-09-01,6,49295.0,216.82,464.0
2020-09-01,7,289707.0,272.11,1276.0
2020-10-01,1,145601.0,217.5,1518.0
2020-10-01,2,88711.0,394.18,609.0
2020-10-01,3,13506.0,462.25,1736.0
2020-10-01,4,17686.0,139.99,375.0
2020-10-01,5,1086952.0,487.07,4317.0
2020-10-01,6,49442.0,217.25,688.0
2020-10-01,7,289793.0,272.23,1873.0
2020-11-01,1,145567.0,217.62,1375.0
2020-11-01,2,88384.0,394.41,498.0
2020-11-01,3,13239.0,467.76,1085.0
2020-11-01,4,18488.0,141.07,264.0
2020-11-01,5,1090315.0,487.22,4000.0
2020-11-01,6,49740.0,217.7,513.0
2020-11-01,7,290492.0,272.27,1334.0
2020-12-01,1,145407.0,217.79,1050.0
2020-12-01,2,88054.0,394.74,342.0
2020-12-01,3,12203.0,474.48,613.0
2020-12-01,4,19666.0,142.67,185.0
2020-12-01,5,1093195.0,487.37,2350.0
2020-12-01,6,49915.0,217.94,104.0
2020-12-01,7,290680.0,272.46,333.0
2021-01-01,1,145236.0,223.73,925.0
2021-01-01,2,87593.0,405.15,303.0
2021-01-01,3,11720.0,486.71,467.0
2021-01-01,4,20151.0,147.73,168.0
2021-01-01,5,1094184.0,498.53,2494.0
2021-01-01,6,49867.0,224.74,261.0
2021-01-01,7,290536.0,280.0,800.0
2021-02-01,1,145720.0,223.94,519.0
2021-02-01,2,86806.0,405.5,198.0
2021-02-01,3,11984.0,487.56,355.0
2021-02-01,4,20772.0,148.15,103.0
2021-02-01,5,1085427.0,499.11,1688.0
2021-02-01,6,48854.0,225.07,275.0
2021-02-01,7,286656.0,280.23,800.0
2021-03-01,1,145488.0,223.95,766.0
2021-03-01,2,86253.0,405.5,309.0
2021-03-01,3,11917.0,490.93,1281.0
2021-03-01,4,20977.0,148.25,234.0
2021-03-01,5,1083038.0,499.38,3765.0
2021-03-01,6,48605.0,225.55,536.0
2021-03-01,7,285542.0,280.36,1556.0
2021-04-01,1,144769.0,223.99,743.0
2021-04-01,2,85588.0,405.6,281.0
2021-04-01,3,12024.0,494.31,807.0
2021-04-01,4,20681.0,147.5,153.0
2021-04-01,5,1080271.0,500.7,4182.0
2021-04-01,6,48488.0,225.78,363.0
2021-04-01,7,284590.0,280.59,1041.0
2021-05-01,1,144187.0,224.19,1111.0
2021-05-01,2,85049.0,405.83,408.0
2021-05-01,3,11953.0,494.57,1094.0
2021-05-01,4,19900.0,145.99,269.0
2021-05-01,5,1081483.0,501.38,5313.0
2021-05-01,6,48503.0,225.78,683.0
2021-05-01,7,284430.0,280.83,2139.0
2021-06-01,1,143751.0,224.58,1316.0
2021-06-01,2,84564.0,406.19,464.0
2021-06-01,3,11798.0,494.2,1106.0
2021-06-01,4,19943.0,146.1,335.0
2021-06-01,5,1084226.0,502.32,6017.0
2021-06-01,6,48870.0,225.63,876.0
2021-06-01,7,285447.0,281.14,2638.0
2021-07-01,1,143728.0,224.95,1249.0
2021-07-01,2,84282.0,406.63,447.0
2021-07-01,3,11917.0,493.53,783.0
2021-07-01,4,17938.0,145.0,342.0
2021-07-01,5,1087176.0,503.2,4529.0
2021-07-01,6,49520.0,226.01,751.0
2021-07-01,7,287045.0,281.75,2208.0
2021-08-01,1,143787.0,225.18,1327.0
2021-08-01,2,84091.0,407.07,492.0
2021-08-01,3,10271.0,499.87,1172.0
2021-08-01,4,18192.0,145.49,421.0
2021-08-01,5,1090935.0,503.86,4980.0
2021-08-01,6,49935.0,226.44,818.0
2021-08-01,7,287870.0,282.29,2120.0
2021-09-01,1,144043.0,225.46,1340.0
2021-09-01,2,84177.0,407.74,521.0
2021-09-01,3,10958.0,502.75,1448.0
2021-09-01,4,17352.0,145.74,331.0
2021-09-01,5,1091310.0,504.42,4781.0
2021-09-01,6,50130.0,226.61,599.0
2021-09-01,7,287936.0,282.18,1627.0
2021-10-01,1,144300.0,225.71,1097.0
2021-10-01,2,84353.0,408.26,391.0
2021-10-01,3,11711.0,503.9,1371.0
2021-10-01,4,17653.0,146.2,370.0
2021-10-01,5,1092782.0,504.97,5420.0
2021-10-01,6,50295.0,227.03,603.0
2021-10-01,7,288317.0,282.28,1742.0
2021-11-01,1,144012.0,225.71,1082.0
2021-11-01,2,84047.0,408.29,424.0
2021-11-01,3,11545.0,502.17,1257.0
2021-11-01,4,17600.0,146.55,313.0
2021-11-01,5,1095027.0,505.15,4262.0
2021-11-01,6,50391.0,227.0,490.0
2021-11-01,7,288526.0,282.31,1335.0
2021-12-01,1,143783.0,225.88,1187.0
2021-12-01,2,83643.0,408.52,440.0
2021-12-01,3,11992.0,500.4,937.0
2021-12-01,4,19075.0,148.92,258.0
2021-12-01,5,1096225.0,505.68,2647.0
2021-12-01,6,50459.0,227.61,203.0
2021-12-01,7,288423.0,282.76,566.0
2022-01-01,1,143494.0,228.8,1241.0
2022-01-01,2,83229.0,413.93,523.0
2022-01-01,3,11409.0,505.13,1098.0
2022-01-01,4,19562.0,152.18,314.0
2022-01-01,5,1096396.0,511.63,3641.0
2022-01-01,6,50436.0,230.89,646.0
2022-01-01,7,288007.0,286.59,1772.0
2022-02-01,1,143775.0,229.34,1061.0
2022-02-01,2,82671.0,414.99,486.0
2022-02-01,3,12332.0,504.73,1418.0
2022-02-01,4,20994.0,153.51,381.0
2022-02-01,5,1090307.0,512.45,3493.0
2022-02-01,6,50223.0,231.74,823.0
2022-02-01,7,286059.0,286.87,2210.0
2022-03-01,1,143597.0,229.47,914.0
2022-03-01,2,82378.0,415.31,357.0
2022-03-01,3,12429.0,508.35,973.0
2022-03-01,4,21413.0,153.86,317.0
2022-03-01,5,1091552.0,512.93,3562.0
2022-03-01,6,50645.0,231.95,793.0
2022-03-01,7,286838.0,287.25,2146.0
2022-04-01,1,143251.0,229.61,719.0
2022-04-01,2,82008.0,415.8,289.0
2022-04-01,3,12212.0,509.48,683.0
2022-04-01,4,21071.0,152.91,259.0
2022-04-01,5,1091009.0,514.38,2908.0
2022-04-01,6,50790.0,232.12,425.0
2022-04-01,7,286839.0,287.44,1157.0
2022-05-01,1,142954.0,229.93,1651.0
2022-05-01,2,81697.0,416.08,626.0
2022-05-01,3,11891.0,507.87,1362.0
2022-05-01,4,20419.0,151.77,466.0
2022-05-01,5,1092380.0,515.1,7211.0
2022-05-01,6,51052.0,232.25,1004.0
2022-05-01,7,287127.0,287.79,2821.0
2022-06-01,1,142988.0,230.15,1476.0
2022-06-01,2,81589.0,416.3,592.0
2022-06-01,3,11806.0,507.06,1159.0
2022-06-01,4,20503.0,151.49,389.0
2022-06-01,5,1096369.0,515.72,5763.0
2022-06-01,6,51465.0,232.31,695.0
2022-06-01,7,288140.0,287.75,1933.0
2022-07-01,1,142822.0,230.17,1121.0
2022-07-01,2,81416.0,416.48,422.0
2022-07-01,3,11446.0,505.36,724.0
2022-07-01,4,18369.0,149.79,231.0
2022-07-01,5,1099296.0,516.11,3708.0
2022-07-01,6,51716.0,232.62,390.0
2022-07-01,7,288612.0,287.58,1056.0
2022-08-01,1,143129.0,230.64,1057.0
2022-08-01,2,81088.0,417.17,427.0
2022-08-01,3,11582.0,502.47,1106.0
2022-08-01,4,18376.0,150.0,253.0
2022-08-01,5,1099287.0,516.96,3810.0
2022-08-01,6,51578.0,232.88,422.0
2022-08-01,7,287780.0,287.87,1134.0
2022-09-01,1,143074.0,230.83,912.0
2022-09-01,2,80937.0,417.62,434.0
2022-09-01,3,11770.0,503.96,1115.0
2022-09-01,4,17758.0,151.36,259.0
2022-09-01,5,1100429.0,517.42,4146.0
2022-09-01,6,51558.0,233.46,523.0
2022-09-01,7,287383.0,287.86,1380.0
2022-10-01,1,142892.0,230.98,935.0
2022-10-01,2,80857.0,418.12,448.0
2022-10-01,3,11770.0,504.83,1108.0
2022-10-01,4,18194.0,152.09,272.0
2022-10-01,5,1102360.0,517.96,4570.0
2022-10-01,6,51778.0,233.62,546.0
2022-10-01,7,287774.0,287.99,1625.0
2022-11-01,1,143007.0,231.17,1046.0
2022-11-01,2,81048.0,418.54,519.0
2022-11-01,3,12112.0,508.42,981.0
2022-11-01,4,18644.0,153.5,306.0
2022-11-01,5,1104225.0,518.35,4039.0
2022-11-01,6,52046.0,233.67,389.0
2022-11-01,7,288455.0,287.99,1241.0
2022-12-01,1,143033.0,231.4,847.0
2022-12-01,2,81110.0,419.12,389.0
2022-12-01,3,12311.0,512.51,858.0
2022-12-01,4,19584.0,155.32,154.0
2022-12-01,5,1104304.0,518.76,2423.0
2022-12-01,6,52084.0,234.03,152.0
2022-12-01,7,288358.0,288.06,418.0
2023-01-01,1,142768.0,258.74,1392.0
